MASV,HO,TEN,PHAI,SODT
23CTT2001,Phan,Van 01,Male,046205xxxxxx
23CTT2002,Phan,Van 02,Female,046205xxxxxx
23CTT2003,Phan,Van 03,Male,046205xxxxxx
23CTT2004,Phan,Van 04,Female,046205xxxxxx
23CTT2005,Phan,Van 05,Male,046205xxxxxx
23CTT2006,Phan,Van 06,Female,046205xxxxxx
23CTT2007,Phan,Van 07,Male,046205xxxxxx
23CTT2008,Phan,Van 08,Female,046205xxxxxx
23CTT2009,Phan,Van 09,Male,046205xxxxxx
23CTT2010,Phan,Van 10,Female,046205xxxxxx
23CTT2011,Phan,Van 11,Male,046205xxxxxx
23CTT2012,Phan,Van 12,Female,046205xxxxxx
23CTT2013,Phan,Van 13,Male,046205xxxxxx
23CTT2014,Phan,Van 14,Female,046205xxxxxx
23CTT2015,Phan,Van 15,Male,046205xxxxxx
23CTT2016,Phan,Van 16,Female,046205xxxxxx
23CTT2017,Phan,Van 17,Male,046205xxxxxx
23CTT2018,Phan,Van 18,Female,046205xxxxxx
23CTT2019,Phan,Van 19,Male,046205xxxxxx
23CTT2020,Phan,Van 20,Female,046205xxxxxx
23CTT2021,Phan,Van 21,Male,046205xxxxxx
23CTT2022,Phan,Van 22,Female,046205xxxxxx
23CTT2023,Phan,Van 23,Male,046205xxxxxx
23CTT2024,Phan,Van 24,Female,046205xxxxxx
23CTT2025,Phan,Van 25,Male,046205xxxxxx
23CTT2026,Phan,Van 26,Female,046205xxxxxx
23CTT2027,Phan,Van 27,Male,046205xxxxxx
23CTT2028,Phan,Van 28,Female,046205xxxxxx
23CTT2029,Phan,Van 29,Male,046205xxxxxx
23CTT2030,Phan,Van 30,Female,046205xxxxxx
